full_name,abbreviation,certainty,full_name_pointing_to_abbreviation_count,abbreviation_pointing_to_full_name_count,full_names_pointing_to_abbreviation_sum,full_name_pointing_to_abbreviation_share,abbreviations_pointing_to_full_name_sum,abbreviation_pointing_to_full_name_share,frequency_score,frequency_score_normalized,wasserstein_distance,n_departments,n_not_overlapping_departments,penalization_score,department_score,wasserstein_distance_normalized,penalization_score_normalized,department_score_normalized,score,normalized_score
Matthias Puppe,mape,0.8,31,31,31,1.0,1612,0.019230769230769232,0.019230769230769232,0.01920217454198037,0.8247016403433041,15,12,0.8,-0.09580594783833785,0.7577714232099152,0.853577371048253,0.32492767970076825,-1.1441298542427487,0.6946470296202694
Matthias Puppe,mi,0.6,7,7,31,0.22580645161290322,1612,0.004342431761786601,0.0009805491075002002,0.0009514223268100197,0.7327479002850639,17,14,0.8235294117647058,-0.2440095447614885,0.630709061483006,0.8747186062444945,0.23362670962576068,-0.8345781319525707,0.8177304194828598
Matthias Puppe,mpu,0.8,1574,1574,1574,1.0,1612,0.9764267990074442,0.9764267990074442,0.9764261117220717,0.6783222164401145,29,14,0.4827586206896552,-0.013031953085717696,0.5555032468683818,0.5685351999540995,0.37592067970073845,-2.15234679142281,0.29376165438506946
Robert Nößler,nöß,0.4,1747,1747,1747,1.0,1747,1.0,1.0,1.0,0.6696075738960756,36,20,0.5555555555555556,-0.09048213861660781,0.5434612890040246,0.6339434276206324,0.3282074175514647,-1.7282074175514648,0.4624071767683841
Ditmar Wohlgemuth,dom,0.6,32,32,73,0.4383561643835616,133,0.24060150375939848,0.105469152332887,0.1054430719559761,,5,5,,0.0,,,0.3839490270782652,-1.0893920990342412,0.7164117557690586
Ditmar Wohlgemuth,thth,0.3,101,101,207,0.48792270531400966,133,0.7593984962406015,0.3705277686971051,0.37050941620195066,,7,7,,0.0,,,0.3839490270782652,-1.054458443280216,0.7303020121006566
Claudia Carell-Domröse,dom,0.3,1,1,73,0.0136986301369863,1,1.0,0.0136986301369863,0.013669874156641013,,4,4,,0.0,,,0.3839490270782652,-0.6976189012349062,0.8721878983978065
Dominik Bath,dom,0.6,2,2,73,0.0273972602739726,2,1.0,0.0273972602739726,0.02736890368224322,0.8316831683168318,5,3,0.6,0.09354167859411011,0.7674185504743098,0.6738768718801997,0.441575469184899,-1.0689443728671422,0.7245421432629756
Dominic Welters,dom,0.6,38,38,73,0.5205479452054794,39,0.9743589743589743,0.5072005619950825,0.5071861942456435,0.8816364054240404,6,4,0.6666666666666666,0.10266726666266524,0.836444304932216,0.7337770382695508,0.4471972965930153,-1.5543834908386587,0.5315227287050742
Dominic Welters,diw,0.9,1,1,113,0.008849557522123894,39,0.02564102564102564,0.0002269117313365101,0.00019776297807056462,,6,6,,0.0,,,0.3839490270782652,-1.2841467900563357,0.6389737515954943
